,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit
113,30-45,blue-collar,married,primary,no,448,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
114,46-64,retired,divorced,primary,no,81,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
115,30-45,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
116,30-45,admin.,married,secondary,no,351,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
117,30-45,management,single,tertiary,no,-67,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
118,46-64,management,divorced,tertiary,no,262,no,no,unknown,5,may,<5,1,<7,0,unknown,no
119,46-64,technician,married,primary,no,0,no,no,unknown,5,may,<5,1,<7,0,unknown,no
120,46-64,technician,divorced,unknown,no,56,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
121,46-64,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
122,30-45,admin.,married,unknown,no,3,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
123,30-45,services,married,secondary,no,41,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
124,46-64,technician,married,tertiary,no,7,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
125,30-45,technician,single,secondary,no,105,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
126,18-29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
127,30-45,services,married,secondary,no,-16,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
128,30-45,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
129,46-64,services,married,secondary,no,2476,yes,no,unknown,5,may,5-10,1,<7,0,unknown,yes
130,46-64,management,married,unknown,no,1185,no,no,unknown,5,may,>10,1,<7,0,unknown,no
131,30-45,admin.,single,secondary,no,217,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
132,30-45,technician,single,secondary,no,1685,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
133,46-64,admin.,single,secondary,no,802,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
134,18-29,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
135,18-29,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
136,30-45,technician,single,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
137,30-45,services,single,unknown,no,0,no,no,unknown,5,may,<5,1,<7,0,unknown,no
138,30-45,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
139,46-64,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
140,46-64,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
141,30-45,self-employed,single,secondary,no,3,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
142,46-64,unemployed,married,tertiary,no,42,no,no,unknown,5,may,<5,1,<7,0,unknown,no
143,30-45,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
144,46-64,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
145,30-45,services,married,secondary,no,22,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
146,46-64,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
147,46-64,unemployed,married,secondary,no,293,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
148,30-45,services,married,primary,no,3,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
149,46-64,blue-collar,married,primary,no,348,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
150,46-64,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
151,18-29,student,single,secondary,no,0,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
152,30-45,management,married,tertiary,no,-4,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
153,30-45,management,married,secondary,no,18,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
154,46-64,technician,married,primary,no,139,no,no,unknown,5,may,<5,2,<7,0,unknown,no
155,30-45,services,married,secondary,no,0,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
156,46-64,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
157,46-64,retired,divorced,secondary,no,216,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
158,46-64,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
159,46-64,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
160,46-64,services,married,unknown,no,1705,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
161,30-45,technician,single,tertiary,no,47,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
162,46-64,services,single,secondary,no,176,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
163,30-45,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,5-10,5,<7,0,unknown,no
164,30-45,technician,married,secondary,no,86,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
165,18-29,admin.,single,secondary,no,82,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
166,46-64,management,married,tertiary,no,271,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
167,46-64,technician,married,secondary,no,1378,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
168,46-64,admin.,married,tertiary,no,184,no,no,unknown,5,may,>10,2,<7,0,unknown,yes
169,46-64,blue-collar,married,primary,no,0,no,no,unknown,5,may,<5,3,<7,0,unknown,no
170,30-45,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
171,30-45,services,married,secondary,no,1357,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
172,46-64,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
173,30-45,retired,single,primary,no,434,no,no,unknown,5,may,<5,1,<7,0,unknown,no
174,46-64,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
175,46-64,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
176,46-64,unemployed,married,secondary,no,41,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
177,30-45,technician,married,secondary,no,51,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
178,46-64,services,married,secondary,no,214,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
179,46-64,management,married,secondary,no,1161,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
180,30-45,services,married,tertiary,no,37,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
181,30-45,technician,divorced,secondary,no,787,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
182,30-45,services,married,secondary,no,59,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
183,30-45,technician,married,secondary,no,253,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
184,30-45,admin.,married,tertiary,no,211,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
185,46-64,retired,married,primary,no,235,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
186,30-45,services,divorced,unknown,no,4384,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
187,46-64,management,married,secondary,no,4080,no,no,unknown,5,may,<5,1,<7,0,unknown,no
188,30-45,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,5-10,1,<7,0,unknown,no
189,30-45,management,single,tertiary,no,0,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
190,46-64,retired,married,secondary,no,2127,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
191,30-45,management,married,tertiary,no,377,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
192,46-64,management,married,tertiary,no,73,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
193,30-45,admin.,married,secondary,no,445,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
194,30-45,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
195,30-45,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
196,30-45,services,married,secondary,no,155,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
197,46-64,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
198,30-45,management,married,tertiary,no,400,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
199,46-64,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
200,46-64,admin.,married,secondary,no,219,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
201,46-64,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
202,30-45,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
203,30-45,student,single,unknown,no,298,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
204,30-45,services,married,secondary,no,0,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
205,46-64,services,married,secondary,no,5699,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
206,30-45,management,married,tertiary,no,176,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
207,30-45,management,married,tertiary,no,517,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
208,30-45,services,single,unknown,no,257,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
209,30-45,retired,married,secondary,no,56,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
210,30-45,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
211,46-64,retired,married,secondary,no,330,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
212,46-64,housemaid,divorced,primary,no,195,no,no,unknown,5,may,5-10,2,<7,0,unknown,no
213,30-45,services,married,secondary,no,301,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
214,46-64,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
215,30-45,technician,married,tertiary,no,483,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
216,46-64,unknown,married,unknown,no,28,no,no,unknown,5,may,5-10,2,<7,0,unknown,no
217,46-64,unemployed,married,unknown,no,13,no,no,unknown,5,may,5-10,3,<7,0,unknown,no
218,46-64,housemaid,married,primary,no,965,no,no,unknown,5,may,<5,1,<7,0,unknown,no
219,30-45,management,married,tertiary,no,378,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
220,30-45,unemployed,married,secondary,no,219,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
221,18-29,blue-collar,married,primary,no,324,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
222,30-45,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
223,46-64,retired,married,secondary,no,0,no,yes,unknown,5,may,<5,1,<7,0,unknown,no
224,30-45,technician,divorced,unknown,no,205,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
225,46-64,blue-collar,married,primary,no,278,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
226,46-64,management,married,unknown,no,1065,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
227,30-45,management,single,tertiary,no,34,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
228,30-45,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,<5,2,<7,0,unknown,no
229,46-64,services,divorced,secondary,no,1467,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
230,46-64,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
231,30-45,services,married,secondary,no,388,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
232,46-64,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
233,46-64,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,<5,1,<7,0,unknown,no
234,46-64,blue-collar,married,primary,no,627,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
235,30-45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
236,46-64,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
237,30-45,blue-collar,married,primary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
238,30-45,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
239,46-64,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,5-10,1,<7,0,unknown,no
240,46-64,technician,married,secondary,no,349,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
241,30-45,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
242,30-45,admin.,married,secondary,no,0,no,no,unknown,5,may,<5,1,<7,0,unknown,no
243,30-45,technician,married,secondary,no,434,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
244,46-64,management,married,tertiary,no,3237,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
245,30-45,management,married,unknown,no,275,no,no,unknown,5,may,5-10,2,<7,0,unknown,no
246,18-29,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
247,30-45,management,married,tertiary,no,207,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
248,30-45,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
249,46-64,services,married,secondary,no,2248,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
250,46-64,admin.,married,secondary,no,428,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
251,46-64,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,<5,1,<7,0,unknown,no
252,30-45,services,single,secondary,no,0,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
253,30-45,technician,divorced,secondary,no,140,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
254,46-64,management,single,tertiary,no,297,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
255,30-45,blue-collar,married,primary,no,279,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
256,46-64,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
257,30-45,technician,single,secondary,no,2573,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
258,30-45,services,married,secondary,no,143,yes,yes,unknown,5,may,5-10,1,<7,0,unknown,no
259,30-45,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,5-10,2,<7,0,unknown,no
260,46-64,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
261,30-45,management,single,tertiary,no,318,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
262,30-45,technician,married,secondary,no,275,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
263,30-45,management,divorced,tertiary,no,742,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
264,30-45,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
265,30-45,student,single,tertiary,no,25,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
266,30-45,management,single,tertiary,no,600,yes,no,unknown,5,may,<5,1,<7,0,unknown,no
267,30-45,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,>10,2,<7,0,unknown,no
268,30-45,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,<5,2,<7,0,unknown,no
269,30-45,blue-collar,married,primary,no,0,yes,no,unknown,5,may,5-10,1,<7,0,unknown,no
270,30-45,management,single,tertiary,no,0,yes,yes,unknown,5,may,5-10,2,<7,0,unknown,yes
271,30-45,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,>10,1,<7,0,unknown,no
272,46-64,technician,married,secondary,no,1078,yes,no,unknown,5,may,<5,4,<7,0,unknown,no
273,46-64,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,<5,3,<7,0,unknown,no
274,30-45,admin.,married,secondary,no,190,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
275,46-64,retired,married,secondary,no,319,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
276,30-45,services,divorced,secondary,no,-185,yes,no,unknown,5,may,<5,3,<7,0,unknown,no
277,46-64,services,married,secondary,no,47,no,no,unknown,5,may,<5,2,<7,0,unknown,no
278,30-45,services,single,secondary,no,570,yes,no,unknown,5,may,<5,2,<7,0,unknown,no
279,30-45,self-employed,married,tertiary,no,19,no,no,unknown,5,may,<5,2,<7,0,unknown,no
